terminal_voltage,terminal_current,temperature,charge_current,charge_voltage,time,capacity,cycle,SOH
4.18663571,-0.001665758,5.45495672,0.0002,0,0,1.524366211,2,0.762183106
4.186625552,-0.00243235,5.485011243,0.0002,4.203,9.297,1.524366211,2,0.762183106
4.001179931,-0.995300365,5.510368714,1,3.431,23.265,1.524366211,2,0.762183106
3.982543688,-0.994922547,5.581232859,1,3.411,36.437,1.524366211,2,0.762183106
3.968436149,-0.995817486,5.640744212,1,3.398,49.609,1.524366211,2,0.762183106
3.95652185,-0.995493751,5.698975728,1,3.387,62.781,1.524366211,2,0.762183106
3.946409699,-0.99390435,5.764557541,1,3.377,76.094,1.524366211,2,0.762183106
3.936951198,-0.994915901,5.821371686,1,3.368,89.265,1.524366211,2,0.762183106
3.928854076,-0.995122332,5.877982586,1,3.353,102.469,1.524366211,2,0.762183106
3.921287635,-0.996233532,5.944605938,1,3.344,115.625,1.524366211,2,0.762183106
3.914244001,-0.994163983,6.010228669,1,3.341,128.812,1.524366211,2,0.762183106
3.908003564,-0.994957717,6.084666665,1,3.337,141.984,1.524366211,2,0.762183106
3.901956341,-0.99490444,6.158784668,1,3.332,155.109,1.524366211,2,0.762183106
3.896644093,-0.995473663,6.216847267,1,3.328,168.312,1.524366211,2,0.762183106
3.891381058,-0.994183131,6.28152578,1,3.324,181.515,1.524366211,2,0.762183106
3.886635895,-0.99509622,6.331524845,1,3.319,194.719,1.524366211,2,0.762183106
3.882306369,-0.995384107,6.396054904,1,3.314,207.906,1.524366211,2,0.762183106
3.878067992,-0.99659228,6.463851368,1,3.311,221.047,1.524366211,2,0.762183106
3.873972749,-0.995050346,6.519123644,1,3.307,234.234,1.524366211,2,0.762183106
3.870183304,-0.996252228,6.582468796,1,3.302,247.437,1.524366211,2,0.762183106
3.86660879,-0.995460313,6.641051067,1,3.298,260.609,1.524366211,2,0.762183106
3.863176003,-0.996538784,6.693149037,0.9998,3.294,273.75,1.524366211,2,0.762183106
3.859910595,-0.995382463,6.74918572,1,3.292,286.937,1.524366211,2,0.762183106
3.856690028,-0.995739251,6.815927776,1,3.289,300.172,1.524366211,2,0.762183106
3.853824354,-0.996371756,6.864280324,1,3.286,313.328,1.524366211,2,0.762183106
3.850759885,-0.99637272,6.923475231,1,3.283,326.5,1.524366211,2,0.762183106
3.847928476,-0.994769326,6.991574447,1,3.28,339.687,1.524366211,2,0.762183106
3.845295083,-0.993418999,7.05625741,1,3.278,352.89,1.524366211,2,0.762183106
3.842556749,-0.996136115,7.093378001,1,3.276,366.047,1.524366211,2,0.762183106
3.840096715,-0.993679527,7.157667045,1,3.273,379.203,1.524366211,2,0.762183106
3.837489026,-0.99381316,7.21608512,1,3.27,392.406,1.524366211,2,0.762183106
3.834915194,-0.997238106,7.266766912,1,3.267,405.594,1.524366211,2,0.762183106
3.832459411,-0.994587331,7.331434108,1,3.265,418.75,1.524366211,2,0.762183106
3.83006047,-0.995188339,7.384745413,1,3.262,431.922,1.524366211,2,0.762183106
3.827589422,-0.993602366,7.433277516,1,3.259,445.125,1.524366211,2,0.762183106
3.825188685,-0.994954606,7.490399882,1,3.257,458.312,1.524366211,2,0.762183106
3.822699147,-0.995454386,7.532649612,1,3.254,471.437,1.524366211,2,0.762183106
